Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
Russia,10,FW,SMOLOV Fedor,SMOLOV,TRUE,FC Krasnodar,Premjer-Liga,RUS
Russia,11,MF,ZOBNIN Roman,ZOBNIN,TRUE,FC Spartak Moscow,Premjer-Liga,RUS
Russia,12,GK,LUNEV Andrei,LUNEV,#N/A,FC Zenit St. Petersburg,Premjer-Liga,RUS
Russia,13,DF,KUDRIASHOV Fedor,Kudryashov,TRUE,FC Rubin Kazan,Premjer-Liga,RUS
Russia,14,DF,GRANAT Vladimir,GRANAT,TRUE,FC Rubin Kazan,Premjer-Liga,RUS
Russia,15,MF,MIRANCHUK Alexey,Al. MIRANCHUK,#N/A,FC Lokomotiv Moscow,Premjer-Liga,RUS
Russia,16,MF,MIRANCHUK Anton,MIRANCHUK AN.,#N/A,FC Lokomotiv Moscow,Premjer-Liga,RUS
Russia,17,MF,GOLOVIN Aleksandr,GOLOVIN,TRUE,CSKA Moscow,Premjer-Liga,RUS
Russia,18,MF,ZHIRKOV Yury,ZHIRKOV,TRUE,FC Zenit St. Petersburg,Premjer-Liga,RUS
Russia,19,MF,SAMEDOV Alexander,SAMEDOV,TRUE,FC Spartak Moscow,Premjer-Liga,RUS
Russia,20,GK,GABULOV Vladimir,GABULOV,#N/A,Club Brugge KV,First Division A,BEL
Russia,21,MF,EROKHIN Aleksandr,EROKHIN,TRUE,FC Zenit St. Petersburg,Premjer-Liga,RUS
Russia,22,FW,DZYUBA Artem,DZYUBA,TRUE,FC Arsenal Tula,Premjer-Liga,RUS
Russia,23,DF,SMOLNIKOV Igor,SMOLNIKOV,#N/A,FC Zenit St. Petersburg,Premjer-Liga,RUS
Sweden,10,MF,FORSBERG Emil,FORSBERG,TRUE,RB Leipzig,Bundesliga,GER
Denmark,8,MF,DELANEY Thomas,DELANEY,TRUE,SV Werder Bremen,Bundesliga,GER
Spain,1,GK,DE GEA David,DE GEA,TRUE,Manchester United FC,Premier League,ENG
Spain,2,DF,CARVAJAL Dani,CARVAJAL,TRUE,Real Madrid CF,Primera Division,ESP
Spain,3,DF,PIQUE Gerard,PIQUÉ,TRUE,FC Barcelona,Primera Division,ESP
Spain,4,DF,NACHO,NACHO,TRUE,Real Madrid CF,Primera Division,ESP
Spain,5,MF,BUSQUETS Sergio,BUSQUETs,TRUE,FC Barcelona,Primera Division,ESP
Spain,6,MF,INIESTA Andres,INIESTA,TRUE,FC Barcelona,Primera Division,ESP
Spain,10,MF,THIAGO,THIAGO,#N/A,FC Bayern Munchen,Bundesliga,GER
Spain,8,MF,KOKE,KOKE,TRUE,Atletico Madrid,Primera Division,ESP
Spain,9,FW,RODRIGO,RODRIGO Moreno,TRUE,Valencia CF,Primera Division,ESP
Sweden,6,DF,AUGUSTINSSON Ludwig,AUGUSTINSSON,TRUE,SV Werder Bremen,Bundesliga,GER
Spain,7,MF,SAUL,SAUL,#N/A,Atletico Madrid,Primera Division,ESP
Spain,11,FW,VAZQUEZ Lucas,LUCAS V.,#N/A,Real Madrid CF,Primera Division,ESP
Spain,12,DF,ODRIOZOLA Alvaro,ODRIOZOLA,#N/A,Real Sociedad,Primera Division,ESP
Spain,13,GK,ARRIZABALAGA Kepa,ARRIZABALAGA,#N/A,Athletic Bilbao,Primera Division,ESP
Spain,14,DF,AZPILICUETA Cesar,AZPILICUETA,#N/A,Chelsea FC,Premier League,ENG
Spain,15,DF,RAMOS Sergio,SERGIO RAMOS,TRUE,Real Madrid CF,Primera Division,ESP
Spain,17,FW,AS PAS lago,IAGO ASPAS,TRUE,Celta Vigo,Primera Division,ESP
Spain,18,DF,ALBA Jordi,JORDI ALBA,TRUE,FC Barcelona,Primera Division,ESP
Spain,19,FW,COSTA Diego,DIEGO COSTA,TRUE,Atletico Madrid,Primera Division,ESP
Spain,20,MF,ASENSIO Marco,ASENSIO,TRUE,Real Madrid CF,Primera Division,ESP
Spain,21,FW,SILVA David,SILVA,TRUE,Manchester City FC,Premier League,ENG
Spain,22,MF,ISCO,ISCO,TRUE,Real Madrid CF,Primera Division,ESP
Spain,16,DF,MONREAL Nacho,NACHO,TRUE,Arsenal FC,Premier League,ENG
Sweden,1,GK,OLSEN Robin,OLSEN,TRUE,FC Kobenhavn,Danish Superliga,DEN
Sweden,2,DF,LUSTIG Mikael,LUSTIG,TRUE,Celtic FC,Premier League,SCO
Sweden,3,DF,LI NDELOF Victor,LINDELÖF,TRUE,Manchester United FC,Premier League,ENG
Sweden,4,DF,GRANQVIST Andreas,GRANQVIST,TRUE,FC Krasnodar,Premjer-Liga,RUS
Spain,23,GK,REINA Pepe,REINA,#N/A,SSC Napoli,Serie A,ITA
Croatia,9,FW,KRAMARIC Andrej,KRAMARIC,TRUE,TSG 1899 Hoffenheim,Bundesliga,GER
Sweden,5,DF,OLSSON Martin,MARTIN OLSSON,TRUE,Swansea City AFC,Premier League,WAL
Switzerland,14,MF,ZUBER Steven,ZUBER,TRUE,TSG 1899 Hoffenheim,Bundesliga,GER
Sweden,9,FW,BERG Marcus,BERG,TRUE,Al Ain FC,Premier League,UAE
France,2,DF,PAVARD Benjamin,PAVARD,TRUE,VfB Stuttgart,Bundesliga,GER
Sweden,7,MF,LARSSON Sebastian,LARSSON,#N/A,Hull City FC,Championship,ENG
Sweden,11,FW,GUIDETTI John,GUIDETTI,#N/A,Deportivo Alaves,Primera Division,ESP
Sweden,13,MF,SVENSSON Gustav,G. SVENSSON,TRUE,Seattle Sounders FC,Major League Soccer,USA
Sweden,12,GK,JOHNSSON Karl-Johan,JOHNSSON,#N/A,EA Guingamp,Ligue 1,FRA
Sweden,14,DF,HELANDER Filip,HELANDER,#N/A,Bologna FC,Serie A,ITA
Sweden,16,DF,KRAFTH Emil,KRAFTH,TRUE,Bologna FC,Serie A,ITA
Sweden,17,MF,CLAESSON Viktor,CLAESSON,TRUE,FC Krasnodar,Premjer-Liga,RUS
Sweden,15,MF,HILJEMARK Oscar,HILJEMARK,#N/A,Genoa CFC,Serie A,ITA
Sweden,18,DF,JANSSON Pontus,JANSSON,#N/A,Leeds United FC,Championship,ENG
Sweden,20,FW,TOIVONEN Ola,TOIVONEN,TRUE,Toulouse FC,Ligue 1,FRA
Sweden,19,MF,ROHDEN Marcus,ROHDEN,#N/A,FC Crotone,Serie A,ITA
Sweden,22,FW,THELIN Isaac Kiese,KIESE THELIN,TRUE,KV Waasland-Beveren,First Division A,BEL
Sweden,21,MF,DURMAZ Jimmy,DURMAZ,#N/A,Toulouse FC,Ligue 1,FRA
Sweden,23,GK,NORDFELDT Kristoffer,NORDFELDT,#N/A,Swansea City AFC,Premier League,WAL
Switzerland,2,DF,LICHTSTEINER Stephan,LICHTSTEINER,#N/A,Juventus FC,Serie A,ITA
Switzerland,3,DF,MOUBANDJE Francois,MOUBANDJE,#N/A,Toulouse FC,Ligue 1,FRA
Switzerland,4,DF,ELVEDI Nico,ELVEDI,#N/A,VfL Borussia Monchengladbach,Bundesliga,GER
Switzerland,6,DF,LANG Michael,LANG,TRUE,FC Basel,Super League,SUI
Switzerland,1,GK,SOMMER Yann,SOMMER,TRUE,VfL Borussia Monchengladbach,Bundesliga,GER
Switzerland,8,MF,FREULER Remo,FREULER,#N/A,Atalanta Bergamo,Serie A,ITA
Switzerland,9,FW,SEFEROVIC Haris,SEFEROVIC,TRUE,SL Benfica,Primeira Liga,POR
Switzerland,10,MF,XHAKA Granit,G. XHAKA,TRUE,Arsenal FC,Premier League,ENG
Switzerland,11,MF,BEHRAMI Valon,BEHRAMI,TRUE,Udinese Calcio,Serie A,ITA
Switzerland,12,GK,MVOGO Yvon,MVOGO,#N/A,RB Leipzig,Bundesliga,GER
Switzerland,13,DF,RODRIGUEZ Ricardo,R. RODRIGUEZ,TRUE,AC Milan,Serie A,ITA
Switzerland,17,MF,ZAKARIA Denis,ZAKARIA,#N/A,VfL Borussia Monchengladbach,Bundesliga,GER
Switzerland,15,MF,DZEMAILI Blerim,DZEMAILI,TRUE,Bologna FC,Serie A,ITA
Switzerland,16,MF,FERNANDES Gelson,G. FERNANDES,#N/A,Eintracht Frankfurt,Bundesliga,GER
Switzerland,19,FW,DRMIC Josip,DRMIC,TRUE,VfL Borussia Monchengladbach,Bundesliga,GER
Switzerland,18,FW,GAVRANOVIC Mario,GAVRANOVIC,#N/A,GNK Dinamo Zagreb,1. HNL,CRO
Switzerland,20,DF,DJOUROU Johan,DJOUROU,TRUE,Antalyaspor AS,Süper Lig,TUR
Switzerland,21,GK,BUERKI Roman,BURKI,#N/A,Borussia Dortmund,Bundesliga,GER
Switzerland,22,DF,SCHAER Fabian,SCHÄR,#N/A,Deportivo La Coruna,Primera Division,ESP
Switzerland,23,MF,SHAQIRI Xherdan,SHAQIRI,TRUE,Stoke City FC,Premier League,ENG
Uruguay,1,GK,MUSLERA Fernando,MUSLERA,TRUE,Galatasaray SK,Süper Lig,TUR
Uruguay,2,DF,GIMENEZ Jose,GIMENEZ,TRUE,Atletico Madrid,Primera Division,ESP
Uruguay,3,DF,GODIN Diego,GODIN,TRUE,Atletico Madrid,Primera Division,ESP
Uruguay,4,DF,VARELA Guillermo,VARELA,#N/A,CA Penarol,Primera Division,URU
Uruguay,5,MF,SANCHEZ Carlos,SANCHEZ,TRUE,CF Monterrey,Primera Division,MEX
Uruguay,6,MF,BENTANCUR Rodrigo,BENTANCUR,TRUE,Juventus FC,Serie A,ITA
Uruguay,7,MF,RODRIGUEZ Cristian,C. RODRIGUEZ,TRUE,CA Penarol,Primera Division,URU
Uruguay,8,MF,NANDEZ Nahitan,NANDEZ,TRUE,CA Boca Juniors,Primera Division,ARG
Uruguay,9,FW,SUAREZ Luis,SUAREZ,TRUE,FC Barcelona,Primera Division,ESP
Uruguay,10,FW,DE ARRASCAETA Giorgian,DE ARRASCAETA,#N/A,Cruzeiro EC,Serie A,BRA
Uruguay,11,FW,STUANI Cristhian,STUANI,TRUE,Girona FC,Primera Division,ESP
Uruguay,12,GK,CAMPANA Martin,CAMPANA,#N/A,CA Independiente,Primera Division,ARG
Uruguay,13,DF,SILVA Gaston,G. SILVA,#N/A,CA Independiente,Primera Division,ARG
Uruguay,14,MF,TORREIRA Lucas,TORREIRA,TRUE,UC Sampdoria,Serie A,ITA
Uruguay,15,MF,VECINO Matias,VECINO,TRUE,FC Internazionale,Serie A,ITA
Uruguay,16,DF,PEREIRA Maximiliano,M. PEREIRA,#N/A,FC Porto,Primeira Liga,POR
Uruguay,17,MF,LAXALT Diego,LAXALT,TRUE,Genoa CFC,Serie A,ITA
Uruguay,18,FW,GOMEZ Maximiliano,Maxi GOMEZ,#N/A,Celta Vigo,Primera Division,ESP
Uruguay,19,DF,COATES Sebastian,COATES,#N/A,Sporting CP,Primeira Liga,POR
Uruguay,20,FW,URRETAVISCAYA Jonathan,URRETAVISCAYA,#N/A,CF Monterrey,Primera Division,MEX
Uruguay,21,FW,CAVANI Edinson,CAVANI,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Uruguay,22,DF,CACERES Martin,CACERES,TRUE,SS Lazio,Serie A,ITA
Uruguay,23,GK,SILVA Martin,M. SILVA,#N/A,CR Vasco da Gama,Serie A,BRA
