FIFA Display Name,Spieler,Minutes_played,POS,DoB,Club,Club_Country,Club_Liga1,Nationalmannschaft,WM_Tore_NM,WM_Gegentore_NM,Tordifferenz,Gruppenphase_1,Gruppenphase_2,Gruppenphase_3,Punkte_Gruppenphase
Ricardo RODRIGUEZ,RODRIGUEZ,399,DF,25.08.92,VfL Wolfsburg,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
Diego BENAGLIO,BENAGLIO,390,GK,08.09.83,VfL Wolfsburg,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
Johan DJOUROU,DJOUROU,390,DF,18.01.87,Hamburger SV,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
Xherdan SHAQIRI,SHAQIRI,387,MF,10.10.91,FC Bayern München,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
GranitXHAKA,XHAKA,323,MF,27.09.92,Borussia Mönchengladbach,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
Fabian JOHNSON,F JOHNSON,302,DF,11.12.87,TSG 1899 Hoffenheim,GER,Bundesliga,USA,4,4,0,3,1,0,4
John BROOKS,BROOKS,44,DF,28.01.93,Hertha BSC,GER,Bundesliga,USA,4,4,0,3,1,0,4
Julian GREEN,GREEN,13,MF,06.06.95,FC Bayern München,GER,Bundesliga,USA,4,4,0,3,1,0,4
Mensur MUJDZA,MUJDZA,159,MF,28.03.84,SC Freiburg,GER,Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
Matthias GINTER,GINTER,0,DF,19.01.94,SC Freiburg,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Admir MEHMEDI,MEHMEDI,337,FW,16.03.91,SC Freiburg,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
Gelson FERNANDES,FERNANDES,54,MF,02.09.86,SC Freiburg,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
Rais MBOLHI,RAIS,390,GK,25.04.86,CSKA Sofia,BUL,1. Division,Algeria,6,5,1,0,3,1,4
Andrey ESHCHENKO,ESHCHENKO,118,DF,09.02.84,FC Anzhi Makhachkala,RUS,1. Division,Russia,2,3,-1,1,0,1,2
El Arabi SOUDANI,SOUDANI,167,FW,25.11.87,GNK Dinamo Zagreb,CRO,1. HNL,Algeria,6,5,1,0,3,1,4
Tino SVen SUSIC,SUSIC,105,MF,13.02.92,HNK Hajduk Split,CRO,1. HNL,Bosnia and Herzegovina,4,4,0,0,0,3,3
Avdija VRSAJEVIC,VRSAJEVIC,90,MF,06.03.86,HNK Hajduk Split,CRO,1. HNL,Bosnia and Herzegovina,4,4,0,0,0,3,3
Oliver ZELENIKA,ZELENIKA,0,GK,14.05.93,NK Lokomotiva Zagreb,CRO,1. HNL,Croatia,6,4,2,0,3,0,3
Ivan MOCINIC,MOCINIC,0,MF,30.04.93,HNK Rijeka,CRO,1. HNL,Croatia,6,4,2,0,3,0,3
Marcelo BROZOVIC,BROZOVIC,29,MF,16.11.92,GNK Dinamo Zagreb,CRO,1. HNL,Croatia,6,4,2,0,3,0,3
Ognjen VRANJES,VRANJES,29,DF,24.10.89,Elazigspor,TUR,1. Lig,Bosnia and Herzegovina,4,4,0,0,0,3,3
En oh EYONG,ENOH,270,MF,23.03.86,Antalyaspor AS,TUR,Süper Lig,Cameroon,1,9,-8,0,0,0,0
Alexandras TZIOLIS,TZIOLIS,0,MF,13.02.85,Kayserispor,TUR,Süper Lig,Greece,2,4,-2,0,1,3,4
Aissa MANDI,MANDI,300,DF,22.10.91,Stade de Reims,FRA,Ligue 1,Algeria,6,5,1,0,3,1,4
Sergio ROMERO,ROMERO,720,GK,22.02.87,AS Monaco,FRA,Ligue 1,Argentina,6,3,3,3,3,3,9
Ezequiel LAVEZZI,LAVEZZI,358,FW,03.05.85,Paris Saint0Germain FC,FRA,Ligue 1,Argentina,6,3,3,3,3,3,9
Divock ORIGI,ORIGI,245,FW,18.04.95,Lille OSC,FRA,Ligue 1,Belgium,4,1,3,3,3,3,9
Thiago SILVA,T SILVA,570,DF,22.09.84,Paris Saint0Germain FC,FRA,Ligue 1,Brazil,7,2,5,3,1,3,7
MAXWELL,MAXWELL,90,DF,27.08.81,Paris Saint0Germain FC,FRA,Ligue 1,Brazil,7,2,5,3,1,3,7
Nicolas NKOULOU,NKOULOU,270,DF,27.03.90,Olympique Marseille,FRA,Ligue 1,Cameroon,1,9,-8,0,0,0,0
Vincent ABOUBAKAR,ABOUBAKAR,142,FW,22.01.92,FC Lorient,FRA,Ligue 1,Cameroon,1,9,-8,0,0,0,0
James RODRIGUEZ,RODRIGUEZ,399,MF,12.07.91,AS Monaco,FRA,Ligue 1,Colombia,9,2,7,3,3,3,9
Abel AGUlLAR,AGUILAR,238,MF,06.01.85,Toulouse FC,FRA,Ligue 1,Colombia,9,2,7,3,3,3,9
Jean Daniel AKPA,AKPA,0,DF,11.10.92,Toulouse FC,FRA,Ligue 1,Cote d'Ivoire,4,5,-1,3,0,0,3
Serge AURIER,S. AURIER,270,DF,24.12.92,Toulouse FC,FRA,Ligue 1,Cote d'Ivoire,4,5,-1,3,0,0,3
Salomon KALOU,Salomon Kalou,203,FW,05.08.85,Lille OSC,FRA,Ligue 1,Cote d'Ivoire,4,5,-1,3,0,0,3
Max GRADEL,GRADEL,67,MF,30.11.87,AS Saint0Etienne,FRA,Ligue 1,Cote d'Ivoire,4,5,-1,3,0,0,3
Ismael DIOMANDE,DIOMANDE,12,MF,28.08.92,AS Saint0Etienne,FRA,Ligue 1,Cote d'Ivoire,4,5,-1,3,0,0,3
Danijel SUBASIC,SUBASIC,0,GK,27.10.84,AS Monaco,FRA,Ligue 1,Croatia,6,4,2,0,3,0,3
Stephane RUFFIER,RUFFIER,0,GK,27.09.86,AS Saint0Etienne,FRA,Ligue 1,France,8,2,6,3,3,1,7
Mickael LANDREAU,LANDREAU,0,GK,14.05.79,SC Bastia,FRA,Ligue 1,France,8,2,6,3,3,1,7
Remy CAB EL LA,CABELLA,0,FW,08.03.90,Montpellier HSC,FRA,Ligue 1,France,8,2,6,3,3,1,7
Blaise MATUIDI,MATUIDI,427,MF,09.04.87,Paris Saint0Germain FC,FRA,Ligue 1,France,8,2,6,3,3,1,7
Mathieu VALBUENA,VALBUENA,335,MF,28.09.84,Olympique Marseille,FRA,Ligue 1,France,8,2,6,3,3,1,7
Yohan CAB AYE,CABAYE,318,MF,14.01.86,Paris Saint0Germain FC,FRA,Ligue 1,France,8,2,6,3,3,1,7
Lucas DIGNE,DIGNE,90,DF,20.07.93,Paris Saint0Germain FC,FRA,Ligue 1,France,8,2,6,3,3,1,7
Rio MAVUBA,Rio Mavuba,25,MF,08.03.84,Lille OSC,FRA,Ligue 1,France,8,2,6,3,3,1,7
Jonathan MENSAH,JONATHAN,270,DF,13.07.90,Evian TG FC,FRA,Ligue 1,Ghana,4,6,-2,0,1,0,1
Andre AYEW,A. AYEW,261,MF,17.12.89,Olympique Marseille,FRA,Ligue 1,Ghana,4,6,-2,0,1,0,1
Marco VERRATTI,VERRATTI,132,MF,05.11.92,Paris Saint0Germain FC,FRA,Ligue 1,Italy,2,4,-2,3,0,0,3
Thiago MOTTA,THIAGO MOTTA,94,MF,28.08.82,Paris Saint0Germain FC,FRA,Ligue 1,Italy,2,4,-2,3,0,0,3
Salvatore SIRIGU,SIRIGU,90,GK,12.01.87,Paris Saint0Germain FC,FRA,Ligue 1,Italy,2,4,-2,3,0,0,3
Vincent ENYEAMA,ENYEAMA,360,GK,29.08.82,Lille OSC,FRA,Ligue 1,Nigeria,3,3,0,1,3,0,4
Joao MOUTINHO,J. MOUTINHO,270,MF,08.09.86,AS Monaco,FRA,Ligue 1,Portugal,4,7,-3,0,1,3,4
Edinson CAVANI,CAVANI,360,FW,14.02.87,Paris Saint0Germain FC,FRA,Ligue 1,Uruguay,4,4,0,0,3,3,6
Alejandro BEDOYA,BEDOYA,285,MF,29.04.87,FC Nantes,FRA,Ligue 1,USA,4,4,0,3,1,0,4
Edgar SALLI,SALLI,47,MF,17.08.92,Lens,FRA,Ligue 1,Cameroon,1,9,-8,0,0,0,0
Mathew LECKIE,LECKIE,270,FW,04.02.91,FSV Frankfurt,GER,2. Bundesliga,Australia,3,9,-6,0,0,0,0
Ben HALLORAN,HALLORAN,87,FW,14.06.92,Fortuna Düsseldorf,GER,2. Bundesliga,Australia,3,9,-6,0,0,0,0
Jasmin FEJZIC,FEJZIC,0,GK,15.05.86,VfR Aalen,GER,2. Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
Ermin BICAKCIC,BICAKCIC,90,DF,24.01.90,Eintracht Braunschweig,GER,2. Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
Mathis BOLLY,BOLLY,17,MF,14.11.90,Fortuna Düsseldorf,GER,2. Bundesliga,Cote d'Ivoire,4,5,-1,3,0,0,3
Daniel DAVAR 1,DAVAR 1,0,GK,06.01.88,Eintracht Braunschweig,GER,2. Bundesliga,Iran,1,4,-3,1,0,0,1
Makoto HASEBE,HASEBE,190,MF,18.01.84,1. FC Nürnberg,GER,2. Bundesliga,Japan,2,6,-4,0,1,0,1
Yuya OSAKO,OSAKO,124,FW,18.05.90,TSV 1860 München,GER,2. Bundesliga,Japan,2,6,-4,0,1,0,1
Hiroshi KIYOTAKE,KIYOTAKE,5,FW,12.11.89,1. FC Nürnberg,GER,2. Bundesliga,Japan,2,6,-4,0,1,0,1
Josip DRMIC,DRMIC,251,FW,08.08.92,1. FC Nürnberg,GER,2. Bundesliga,Switzerland,7,6,1,3,0,3,6
Timmy CHANDLER,CHANDLER,0,DF,29.03.90,1. FC Nürnberg,GER,2. Bundesliga,USA,4,4,0,3,1,0,4
Sammy NDJOCK,NDJOCK,0,GK,25.02.90,Fethiyespor,TUR,Second League,Cameroon,1,9,-8,0,0,0,0
Eugen GALEKOVIC,GALEKOVIC,0,GK,12.06.81,Adelaide United FC,AUS,A-League,Australia,3,9,-6,0,0,0,0
Matthew SPIRANOVIC,SPIRANOVIC,270,DF,27.06.88,Western Sydney Wanderers FC,AUS,A-League,Australia,3,9,-6,0,0,0,0
Matt McKAY,MCKAY,180,MF,11.01.83,Brisbane Roar FC,AUS,A-League,Australia,3,9,-6,0,0,0,0
Mark MILLI GAN,MILLIGAN,90,MF,04.08.85,Melbourne Victory FC,AUS,A-League,Australia,3,9,-6,0,0,0,0
Adam TAGGART,TAGGART,59,FW,02.06.93,Newcastle United Jets FC,AUS,A-League,Australia,3,9,-6,0,0,0,0
Ivan FRANJIC,FRANJIC,49,DF,10.09.87,Brisbane Roar FC,AUS,A-League,Australia,3,9,-6,0,0,0,0
James TROISI,TROISI,41,MF,03.07.88,Melbourne Victory FC,AUS,A-League,Australia,3,9,-6,0,0,0,0
Rashid SUMAILA,SUMAILA,0,DF,18.12.92,Mamelodi Sundowns FC,RSA,Premier Soccer League,Ghana,4,6,-2,0,1,0,1
Fatawu DAUDA,DAUDA,180,GK,06.04.85,Orlando Pirates,RSA,Premier Soccer League,Ghana,4,6,-2,0,1,0,1
Miiko ALBORNOZ,ALBORNOZ,0,DF,30.11.90,Malmo FF,SWE,Allsvenskan,Chile,5,3,2,3,3,0,6
Celso BORGES,BORGES C.,498,MF,27.05.88,AIK Solna,SWE,Allsvenskan,Costa Rica,4,1,3,3,3,1,7
Jose Maria BASANTA,BASANTA,104,DF,03.04.84,CF Monterrey,MEX,Primera Division,Argentina,6,3,3,3,3,3,9
Fidel MARTINEZ,MARTINEZ,0,MF,15.02.90,Club Tijuana,MEX,Primera Division,Ecuador,3,3,0,0,3,1,4
Jaimen AYOVI,J. AYOVI,0,FW,21.02.88,Club Tijuana,MEX,Primera Division,Ecuador,3,3,0,0,3,1,4
Walter AYOVI,W. AYOVI,270,MF,11.08.79,CF Pachuca,MEX,Primera Division,Ecuador,3,3,0,0,3,1,4
Enner VALENCIA,E. VALENCIA,270,FW,04.11.89,CF Pachuca,MEX,Primera Division,Ecuador,3,3,0,0,3,1,4
Jefferson MONTERO,MONTERO,230,MF,01.09.89,CA Monarcas Morelia,MEX,Primera Division,Ecuador,3,3,0,0,3,1,4
Joao ROJAS,ROJAS,12,FW,14.06.89,Cruz Azul FC,MEX,Primera Division,Ecuador,3,3,0,0,3,1,4
Jose CORONA,J CORONA,0,GK,26.01.81,Cruz Azul FC,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Alfredo TALAVERA,A TALAVERA,0,GK,18.09.82,Deportivo Toluca FC,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Alan PULIDO,A PULIDO,0,FW,08.03.91,Tigres UANL,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Miguel PONCE,M PONCE,0,DF,12.04.89,Deportivo Toluca FC,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Isaac BRIZUELA,1 BRIZUELA,0,MF,28.08.90,Deportivo Toluca FC,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Francisco RODRIGUEZ,F RODRIGUEZ,360,DF,20.10.81,Club America,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Rafael MARQUEZ,R MARQUEZ,360,DF,13.02.79,Club Leon,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Miguel LAY UN,M LAYUN,360,DF,25.06.88,Club America,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Paul AGUlLAR,P AGUILAR,360,DF,06.03.86,Club America,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Jose VAZQUEZ,J VAZQUEZ,270,MF,14.03.88,Club Leon,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Carlos SALCIDO,C SALCIDO,91,DF,02.04.80,Tigres UANL,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Marco FABIAN,M FABIAN,41,MF,21.07.89,Cruz Azul FC,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Carlos PENA,C PENA,11,MF,29.03.90,Club Leon,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Raul JIMENEZ,R JIMENEZ,6,FW,05.05.91,Club America,MEX,Primera Division,Mexico,4,1,3,3,1,3,7
Egidio AREVALO,AREVALO,360,MF,01.01.82,CA Monarcas Morelia,MEX,Primera Division,Uruguay,4,4,0,0,3,3,6
DaMarcus BEASLEY,BEASLEY,390,DF,24.05.82,Puebla FC,MEX,Primera Division,USA,4,4,0,3,1,0,4
Muhamed BESIC,BESIC,270,MF,10.09.92,Ferencvarosi TC,HUN,Arany Aszok League,Bosnia and Herzegovina,4,4,0,0,0,3,3
JEFFERSON,JEFFERSON,0,GK,02.01.83,Botafogo FR,BRA,Serie A,Brazil,7,2,5,3,1,3,7
VICTOR,VICTOR,0,GK,21.01.83,Atletico Mineiro,BRA,Serie A,Brazil,7,2,5,3,1,3,7
JO,JO,168,FW,20.03.87,Atletico Mineiro,BRA,Serie A,Brazil,7,2,5,3,1,3,7
Jorge VALDIVIA,VALDIVIA,93,MF,19.10.83,Palmeiras,BRA,Serie A,Chile,5,3,2,3,3,0,6
Frickson ERAZO,ERAZO,270,DF,05.05.88,CR Flamengo,BRA,Serie A,Ecuador,3,3,0,0,3,1,4
Nicolas LODEIRO,LODEIRO,143,MF,21.03.89,Botafogo FR,BRA,Serie A,Uruguay,4,4,0,0,3,3,6
Martin SILVA,SILVA,280,GK,25.03.83,CR Vasco da Gama,BRA,Serie B,Uruguay,4,4,0,0,3,3,6
James HOLLAND,HOLLAND,0,MF,15.05.89,FK Austria Wien,AUT,Bundesliga,Australia,3,9,-6,0,0,0,0
Loic FEUDJOU,FEUDJOU,0,GK,14.04.92,Coton Sport FC,CMR,Cameroon Premiere Division,Cameroon,1,9,-8,0,0,0,0
Cedric DJEUGOUE,DJEUGOUE,46,DF,28.08.92,Coton Sport FC,CMR,Cameroon Premiere Division,Cameroon,1,9,-8,0,0,0,0
FRED,FRED,471,FW,03.10.83,Fluminense FC,BRA,Serie A,Brazil,7,2,5,3,1,3,7
Eugenio MENA,MENA,390,DF,18.07.88,Santos FC,BRA,Serie A,Chile,5,3,2,3,3,0,6
Charles ARANGUIZ,CH. ARANGUIZ,364,MF,17.04.89,SC Internacional,BRA,Serie A,Chile,5,3,2,3,3,0,6
Alvaro PEREIRA,A. PEREIRA,206,MF,28.11.85,Sao Paulo FC,BRA,Serie A,Uruguay,4,4,0,0,3,3,6
Alexander DOMINGUEZ,DOMINGUEZ,270,GK,05.06.87,LDU Quito,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Sebastian COATES,COATES,2,DF,07.10.90,Club Nacional de Football,URU,Primera Division,Uruguay,4,4,0,0,3,3,6
Jason DAVIDSON,DAVIDSON,270,DF,29.06.91,SC Heracles Almelo,NED,Eredivisie,Australia,3,9,-6,0,0,0,0
Tommy OAR,OAR,206,MF,10.12.91,FC Utrecht,NED,Eredivisie,Australia,3,9,-6,0,0,0,0
Felipe GUTIERREZ,GUTIERREZ,165,MF,08.10.90,FC Twente,NED,Eredivisie,Chile,5,3,2,3,3,0,6
Santiago ARIAS,ARIAS,124,DF,13.01.92,PSV Eindhoven,NED,Eredivisie,Colombia,9,2,7,3,3,3,9
Bryan RUIZ,RUIZ B.,494,FW,18.08.85,PSV Eindhoven,NED,Eredivisie,Costa Rica,4,1,3,3,3,1,7
Alex IBARRA,IBARRA,0,MF,20.01.91,Vitesse Arnheim,NED,Eredivisie,Ecuador,3,3,0,0,3,1,4
Christian ATSU,ATSU,240,MF,10.01.92,Vitesse Arnheim,NED,Eredivisie,Ghana,4,6,-2,0,1,0,1
Stefan DE VRIJ,DE VRIJ,677,DF,05.02.92,Feyenoord Rotterdam,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Daley BLIND,BLIND,670,DF,09.03.90,AFC Ajax,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Georginio WlJNALDUM,WIJNALDUM,550,MF,11.11.90,PSV Eindhoven,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Bruno MARTINS INDI,MARTINS INDI,458,DF,08.02.92,Feyenoord Rotterdam,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Daryl JAN MAAT,JANMAAT,364,DF,22.07.89,Feyenoord Rotterdam,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Memphis DEPAY,MEMPHIS,173,FW,13.02.94,PSV Eindhoven,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Jordy CLASIE,CLASIE,148,MF,27.06.91,Feyenoord Rotterdam,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Joel VELTMAN,VELTMAN,14,DF,15.01.92,AFC Ajax,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Terence KONGOLO,KONGOLO,1,DF,14.02.94,Feyenoord Rotterdam,NED,Eredivisie,Netherlands,10,3,7,3,3,3,9
Uche NWOFOR,NWOFOR,11,FW,17.09.91,SC Heerenveen,NED,Eredivisie,Nigeria,3,3,0,1,3,0,4
Alexander MEJIA,A. MEJIA,144,MF,11.07.88,Atletico Nacional,COL,Categoría Primera A,Colombia,9,2,7,3,3,3,9
Esseid BELKALEM,BELKALEM,211,DF,01.01.89,Watford FC,ENG,Championship,Algeria,6,5,1,0,3,1,4
Gonzalo JARA,JARA,390,DF,29.08.85,Nottingham Forest FC,ENG,Championship,Chile,5,3,2,3,3,0,6
Gary MEDEL,MEDEL,378,DF,03.08.87,Cardiff City FC,WAL,Premier League,Chile,5,3,2,3,3,0,6
Jean BEAUSEJOUR,BEAUSEJOUR,66,MF,01.06.84,Wigan Athletic,ENG,Championship,Chile,5,3,2,3,3,0,6
Albert ADOMAH,ADOMAH,12,MF,13.12.87,Middlesbrough FC,ENG,Championship,Ghana,4,6,-2,0,1,0,1
Georgios KARAGOUNIS,KARAGOUNIS,259,MF,06.03.77,Fulham FC,ENG,Championship,Greece,2,4,-2,0,1,3,4
Konstantinos MITROGLOU,MITROGLOU,123,FW,12.03.88,Fulham FC,ENG,Championship,Greece,2,4,-2,0,1,3,4
Roger ESPINOZA,ESPINOZA,226,MF,25.10.86,Wigan Athletic,ENG,Championship,Honduras,1,8,-7,0,0,0,0
Juan Carlos GARCIA,J.C. GARCIA,134,DF,08.03.88,Wigan Athletic,ENG,Championship,Honduras,1,8,-7,0,0,0,0
