Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
Russia,19,MF,SAMEDOV Alexander,SAMEDOV,TRUE,FC Spartak Moscow,Premjer-Liga,RUS
Russia,20,GK,GABULOV Vladimir,GABULOV,FALSE,Club Brugge KV,First Division A,BEL
Russia,21,MF,EROKHIN Aleksandr,EROKHIN,TRUE,FC Zenit St. Petersburg,Premjer-Liga,RUS
Russia,22,FW,DZYUBA Artem,DZYUBA,TRUE,FC Arsenal Tula,Premjer-Liga,RUS
Russia,23,DF,SMOLNIKOV Igor,SMOLNIKOV,FALSE,FC Zenit St. Petersburg,Premjer-Liga,RUS
Sweden,8,MF,EKDAL Albin,EKDAL,TRUE,Hamburger SV,Bundesliga,GER
Sweden,10,MF,FORSBERG Emil,FORSBERG,TRUE,RB Leipzig,Bundesliga,GER
Sweden,6,DF,AUGUSTINSSON Ludwig,AUGUSTINSSON,TRUE,SV Werder Bremen,Bundesliga,GER
Sweden,1,GK,OLSEN Robin,OLSEN,TRUE,FC Kobenhavn,Danish Superliga,DEN
Sweden,2,DF,LUSTIG Mikael,LUSTIG,#N/A,Celtic FC,Premier League,SCO
Sweden,3,DF,LI NDELOF Victor,LINDELÖF,TRUE,Manchester United FC,Premier League,ENG
Sweden,4,DF,GRANQVIST Andreas,GRANQVIST,TRUE,FC Krasnodar,Premjer-Liga,RUS
Sweden,5,DF,OLSSON Martin,MARTIN OLSSON,TRUE,Swansea City AFC,Premier League,WAL
Sweden,9,FW,BERG Marcus,BERG,TRUE,Al Ain FC,Premier League,UAE
Sweden,7,MF,LARSSON Sebastian,LARSSON,TRUE,Hull City FC,Championship,ENG
Sweden,11,FW,GUIDETTI John,GUIDETTI,TRUE,Deportivo Alaves,Primera Division,ESP
Sweden,13,MF,SVENSSON Gustav,G. SVENSSON,FALSE,Seattle Sounders FC,Major League Soccer,USA
Sweden,12,GK,JOHNSSON Karl-Johan,JOHNSSON,FALSE,EA Guingamp,Ligue 1,FRA
Sweden,14,DF,HELANDER Filip,HELANDER,FALSE,Bologna FC,Serie A,ITA
Sweden,16,DF,KRAFTH Emil,KRAFTH,TRUE,Bologna FC,Serie A,ITA
Sweden,17,MF,CLAESSON Viktor,CLAESSON,TRUE,FC Krasnodar,Premjer-Liga,RUS
Sweden,15,MF,HILJEMARK Oscar,HILJEMARK,FALSE,Genoa CFC,Serie A,ITA
Sweden,18,DF,JANSSON Pontus,JANSSON,TRUE,Leeds United FC,Championship,ENG
Sweden,20,FW,TOIVONEN Ola,TOIVONEN,TRUE,Toulouse FC,Ligue 1,FRA
Sweden,19,MF,ROHDEN Marcus,ROHDEN,FALSE,FC Crotone,Serie A,ITA
Sweden,22,FW,THELIN Isaac Kiese,KIESE THELIN,FALSE,KV Waasland-Beveren,First Division A,BEL
Sweden,21,MF,DURMAZ Jimmy,DURMAZ,FALSE,Toulouse FC,Ligue 1,FRA
Sweden,23,GK,NORDFELDT Kristoffer,NORDFELDT,FALSE,Swansea City AFC,Premier League,WAL
Uruguay,1,GK,MUSLERA Fernando,MUSLERA,TRUE,Galatasaray SK,Süper Lig,TUR
Uruguay,2,DF,GIMENEZ Jose,GIMENEZ,TRUE,Atletico Madrid,Primera Division,ESP
Uruguay,3,DF,GODIN Diego,GODIN,TRUE,Atletico Madrid,Primera Division,ESP
Uruguay,4,DF,VARELA Guillermo,VARELA,FALSE,CA Penarol,Primera Division,URU
Uruguay,5,MF,SANCHEZ Carlos,SANCHEZ,FALSE,CF Monterrey,Primera Division,MEX
Uruguay,6,MF,BENTANCUR Rodrigo,BENTANCUR,TRUE,Juventus FC,Serie A,ITA
Uruguay,7,MF,RODRIGUEZ Cristian,C. RODRIGUEZ,TRUE,CA Penarol,Primera Division,URU
Uruguay,8,MF,NANDEZ Nahitan,NANDEZ,TRUE,CA Boca Juniors,Primera Division,ARG
Uruguay,9,FW,SUAREZ Luis,SUAREZ,TRUE,FC Barcelona,Primera Division,ESP
Uruguay,10,FW,DE ARRASCAETA Giorgian,DE ARRASCAETA,FALSE,Cruzeiro EC,Serie A,BRA
Uruguay,11,FW,STUANI Cristhian,STUANI,TRUE,Girona FC,Primera Division,ESP
Uruguay,12,GK,CAMPANA Martin,CAMPANA,FALSE,CA Independiente,Primera Division,ARG
Uruguay,13,DF,SILVA Gaston,G. SILVA,FALSE,CA Independiente,Primera Division,ARG
Uruguay,14,MF,TORREIRA Lucas,TORREIRA,TRUE,UC Sampdoria,Serie A,ITA
Uruguay,15,MF,VECINO Matias,VECINO,TRUE,FC Internazionale,Serie A,ITA
Uruguay,16,DF,PEREIRA Maximiliano,M. PEREIRA,FALSE,FC Porto,Primeira Liga,POR
Uruguay,17,MF,LAXALT Diego,LAXALT,TRUE,Genoa CFC,Serie A,ITA
Uruguay,18,FW,GOMEZ Maximiliano,Maxi GOMEZ,TRUE,Celta Vigo,Primera Division,ESP
Uruguay,19,DF,COATES Sebastian,COATES,FALSE,Sporting CP,Primeira Liga,POR
Uruguay,20,FW,URRETAVISCAYA Jonathan,URRETAVISCAYA,TRUE,CF Monterrey,Primera Division,MEX
Uruguay,21,FW,CAVANI Edinson,CAVANI,#N/A,Paris Saint-Germain FC,Ligue 1,FRA
Uruguay,22,DF,CACERES Martin,CACERES,TRUE,SS Lazio,Serie A,ITA
Uruguay,23,GK,SILVA Martin,M. SILVA,FALSE,CR Vasco da Gama,Serie A,BRA
